grund,zustimmung,anteil
Ich habe Freude an der Tätigkeit,voll und ganz,0.587
Ich habe Freude an der Tätigkeit,eher ja,0.331
Ich habe Freude an der Tätigkeit,eher nein,0.047
Ich habe Freude an der Tätigkeit,gar nicht,0.031
Ich möchte etwas Nützliches zum Gemeinwohl beitragen,voll und ganz,0.468
Ich möchte etwas Nützliches zum Gemeinwohl beitragen,eher ja,0.372
Ich möchte etwas Nützliches zum Gemeinwohl beitragen,eher nein,0.097
Ich möchte etwas Nützliches zum Gemeinwohl beitragen,gar nicht,0.058
Ich möchte damit anderen helfen,voll und ganz,0.616
Ich möchte damit anderen helfen,eher ja,0.313
Ich möchte damit anderen helfen,eher nein,0.043
Ich möchte damit anderen helfen,gar nicht,0.023
Die Tätigkeit hilft mir in meinem Beruf,voll und ganz,0.058
Die Tätigkeit hilft mir in meinem Beruf,eher ja,0.098
Die Tätigkeit hilft mir in meinem Beruf,eher nein,0.221
Die Tätigkeit hilft mir in meinem Beruf,gar nicht,0.619
Ich kann meine Fähigkeiten und Kenntnisse einbringen,voll und ganz,0.355
Ich kann meine Fähigkeiten und Kenntnisse einbringen,eher ja,0.399
Ich kann meine Fähigkeiten und Kenntnisse einbringen,eher nein,0.125
Ich kann meine Fähigkeiten und Kenntnisse einbringen,gar nicht,0.119
Ich treffe Menschen und gewinne Freunde,voll und ganz,0.313
Ich treffe Menschen und gewinne Freunde,eher ja,0.355
Ich treffe Menschen und gewinne Freunde,eher nein,0.191
Ich treffe Menschen und gewinne Freunde,gar nicht,0.138
Ich bekomme gesellschaftliche Anerkennung,voll und ganz,0.175
Ich bekomme gesellschaftliche Anerkennung,eher ja,0.324
Ich bekomme gesellschaftliche Anerkennung,eher nein,0.272
Ich bekomme gesellschaftliche Anerkennung,gar nicht,0.225
Ich bleibe dadurch körperlich und geistig aktiv,voll und ganz,0.315
Ich bleibe dadurch körperlich und geistig aktiv,eher ja,0.357
Ich bleibe dadurch körperlich und geistig aktiv,eher nein,0.184
Ich bleibe dadurch körperlich und geistig aktiv,gar nicht,0.141
Ich kann meine Erfahrung teilen,voll und ganz,0.331
Ich kann meine Erfahrung teilen,eher ja,0.414
Ich kann meine Erfahrung teilen,eher nein,0.147
Ich kann meine Erfahrung teilen,gar nicht,0.103
Ich habe die Möglichkeit zu lernen und mich weiterzubilden,voll und ganz,0.217
Ich habe die Möglichkeit zu lernen und mich weiterzubilden,eher ja,0.290
Ich habe die Möglichkeit zu lernen und mich weiterzubilden,eher nein,0.263
Ich habe die Möglichkeit zu lernen und mich weiterzubilden,gar nicht,0.228
Ich hoffe dadurch einen Job zu finden,voll und ganz,0.022
Ich hoffe dadurch einen Job zu finden,eher ja,0.033
Ich hoffe dadurch einen Job zu finden,eher nein,0.137
Ich hoffe dadurch einen Job zu finden,gar nicht,0.805
Ich möchte selbst auch Hilfe erhalten wenn ich sie benötige,voll und ganz,0.330
Ich möchte selbst auch Hilfe erhalten wenn ich sie benötige,eher ja,0.368
Ich möchte selbst auch Hilfe erhalten wenn ich sie benötige,eher nein,0.160
Ich möchte selbst auch Hilfe erhalten wenn ich sie benötige,gar nicht,0.139
Ich möchte mich für eine wichtige Sache engagieren,voll und ganz,0.307
Ich möchte mich für eine wichtige Sache engagieren,eher ja,0.382
Ich möchte mich für eine wichtige Sache engagieren,eher nein,0.180
Ich möchte mich für eine wichtige Sache engagieren,gar nicht,0.126
