grund,zustimmung,anteil
Ich bin niemals gefragt oder gebeten worden,voll und ganz,0.460
Ich bin niemals gefragt oder gebeten worden,eher ja,0.207
Ich bin niemals gefragt oder gebeten worden,eher nein,0.111
Ich bin niemals gefragt oder gebeten worden,gar nicht,0.202
Ich habe nie darüber nachgedacht,voll und ganz,0.301
Ich habe nie darüber nachgedacht,eher ja,0.256
Ich habe nie darüber nachgedacht,eher nein,0.195
Ich habe nie darüber nachgedacht,gar nicht,0.226
Ich bin durch Aufgaben in der Familie ausgelastet,voll und ganz,0.457
Ich bin durch Aufgaben in der Familie ausgelastet,eher ja,0.216
Ich bin durch Aufgaben in der Familie ausgelastet,eher nein,0.112
Ich bin durch Aufgaben in der Familie ausgelastet,gar nicht,0.197
Ich fühle mich durch Krankheit oder Behinderung nicht in der Lage,voll und ganz,0.160
Ich fühle mich durch Krankheit oder Behinderung nicht in der Lage,eher ja,0.085
Ich fühle mich durch Krankheit oder Behinderung nicht in der Lage,eher nein,0.123
Ich fühle mich durch Krankheit oder Behinderung nicht in der Lage,gar nicht,0.614
Ich kann mir das finanziell nicht leisten,voll und ganz,0.098
Ich kann mir das finanziell nicht leisten,eher ja,0.116
Ich kann mir das finanziell nicht leisten,eher nein,0.236
Ich kann mir das finanziell nicht leisten,gar nicht,0.531
Ich kann es nicht mit meinem Beruf vereinbaren,voll und ganz,0.191
Ich kann es nicht mit meinem Beruf vereinbaren,eher ja,0.173
Ich kann es nicht mit meinem Beruf vereinbaren,eher nein,0.131
Ich kann es nicht mit meinem Beruf vereinbaren,gar nicht,0.486
Ich habe schlechte Erfahrungen gemacht,voll und ganz,0.027
Ich habe schlechte Erfahrungen gemacht,eher ja,0.029
Ich habe schlechte Erfahrungen gemacht,eher nein,0.167
Ich habe schlechte Erfahrungen gemacht,gar nicht,0.759
Ich habe das Gefühl dass ich keinen Beitrag leisten kann,voll und ganz,0.075
Ich habe das Gefühl dass ich keinen Beitrag leisten kann,eher ja,0.102
Ich habe das Gefühl dass ich keinen Beitrag leisten kann,eher nein,0.257
Ich habe das Gefühl dass ich keinen Beitrag leisten kann,gar nicht,0.545
Ich habe nicht das richtige Alter,voll und ganz,0.193
Ich habe nicht das richtige Alter,eher ja,0.118
Ich habe nicht das richtige Alter,eher nein,0.191
Ich habe nicht das richtige Alter,gar nicht,0.479
Ich bin über die Möglichkeiten zu wenig informiert,voll und ganz,0.146
Ich bin über die Möglichkeiten zu wenig informiert,eher ja,0.248
Ich bin über die Möglichkeiten zu wenig informiert,eher nein,0.222
Ich bin über die Möglichkeiten zu wenig informiert,gar nicht,0.364
Es gibt in der Nähe keine Tätigkeit die für mich interessant ist,voll und ganz,0.217
Es gibt in der Nähe keine Tätigkeit die für mich interessant ist,eher ja,0.230
Es gibt in der Nähe keine Tätigkeit die für mich interessant ist,eher nein,0.203
Es gibt in der Nähe keine Tätigkeit die für mich interessant ist,gar nicht,0.325
